Symbol,Base Asset,Quote Asset,Status
REZFDUSD,REZ,FDUSD,TRADING
REZTRY,REZ,TRY,TRADING
EGLDTRY,EGLD,TRY,TRADING
PHBTRY,PHB,TRY,TRADING
RSRTRY,RSR,TRY,TRADING
BBBTC,BB,BTC,TRADING
BBUSDT,BB,USDT,TRADING
BBBNB,BB,BNB,TRADING
BBFDUSD,BB,FDUSD,TRADING
BBTRY,BB,TRY,TRADING
FRONTUSDC,FRONT,USDC,BREAK
PEOPLETRY,PEOPLE,TRY,TRADING
TRBUSDC,TRB,USDC,TRADING
NOTUSDT,NOT,USDT,TRADING
NOTBNB,NOT,BNB,TRADING
NOTFDUSD,NOT,FDUSD,TRADING
NOTTRY,NOT,TRY,TRADING
ARKMUSDC,ARKM,USDC,TRADING
ARUSDC,AR,USDC,TRADING
BBUSDC,BB,USDC,TRADING
CRVUSDC,CRV,USDC,TRADING
PEOPLEUSDC,PEOPLE,USDC,TRADING
ARFDUSD,AR,FDUSD,TRADING
ENAEUR,ENA,EUR,BREAK
PEPEEUR,PEPE,EUR,TRADING
REZUSDC,REZ,USDC,TRADING
TRBFDUSD,TRB,FDUSD,BREAK
USDCTRY,USDC,TRY,TRADING
BTCMXN,BTC,MXN,TRADING
XRPMXN,XRP,MXN,TRADING
ENSUSDC,ENS,USDC,TRADING
LDOUSDC,LDO,USDC,TRADING
NOTUSDC,NOT,USDC,TRADING
NEARBRL,NEAR,BRL,TRADING
HIGHTRY,HIGH,TRY,TRADING
PEOPLEFDUSD,PEOPLE,FDUSD,TRADING
TNSRUSDC,TNSR,USDC,TRADING
USDTCOP,USDT,COP,TRADING
IOBTC,IO,BTC,TRADING
IOUSDT,IO,USDT,TRADING
IOBNB,IO,BNB,TRADING
IOFDUSD,IO,FDUSD,TRADING
IOTRY,IO,TRY,TRADING
NOTBRL,NOT,BRL,TRADING
TRUTRY,TRU,TRY,TRADING
WIFEUR,WIF,EUR,TRADING
ZKBTC,ZK,BTC,TRADING
ZKUSDT,ZK,USDT,TRADING
ZKFDUSD,ZK,FDUSD,TRADING
ZKTRY,ZK,TRY,TRADING
LISTAUSDT,LISTA,USDT,TRADING
LISTABNB,LISTA,BNB,TRADING
LISTAFDUSD,LISTA,FDUSD,TRADING
LISTATRY,LISTA,TRY,TRADING
ZROBTC,ZRO,BTC,TRADING
ZROUSDT,ZRO,USDT,TRADING
ZROFDUSD,ZRO,FDUSD,TRADING
ZROTRY,ZRO,TRY,TRADING
LISTABRL,LISTA,BRL,TRADING
BAKETRY,BAKE,TRY,TRADING
WIFBRL,WIF,BRL,TRADING
ZKUSDC,ZK,USDC,TRADING
ZROUSDC,ZRO,USDC,TRADING
IOUSDC,IO,USDC,TRADING
1000SATSUSDC,1000SATS,USDC,TRADING
BNXTRY,BNX,TRY,TRADING
ETHARS,ETH,ARS,TRADING
GUSDT,G,USDT,TRADING
GTRY,G,TRY,TRADING
BANANABTC,BANANA,BTC,TRADING
BANANAUSDT,BANANA,USDT,TRADING
BANANABNB,BANANA,BNB,TRADING
BANANAFDUSD,BANANA,FDUSD,TRADING
BANANATRY,BANANA,TRY,TRADING
RENDERBTC,RENDER,BTC,TRADING
RENDERUSDT,RENDER,USDT,TRADING
RENDERFDUSD,RENDER,FDUSD,TRADING
RENDERUSDC,RENDER,USDC,TRADING
RENDERTRY,RENDER,TRY,TRADING
RENDEREUR,RENDER,EUR,TRADING
RENDERBRL,RENDER,BRL,TRADING
TONBTC,TON,BTC,TRADING
TONUSDT,TON,USDT,TRADING
TONFDUSD,TON,FDUSD,TRADING
TONTRY,TON,TRY,TRADING
BONKBRL,BONK,BRL,TRADING
NOTEUR,NOT,EUR,TRADING
DOGEJPY,DOGE,JPY,TRADING
MATICJPY,MATIC,JPY,BREAK
NEARJPY,NEAR,JPY,TRADING
TONUSDC,TON,USDC,TRADING
AAVEFDUSD,AAVE,FDUSD,TRADING
DOGSUSDT,DOGS,USDT,TRADING
DOGSBNB,DOGS,BNB,TRADING
DOGSFDUSD,DOGS,FDUSD,TRADING
DOGSTRY,DOGS,TRY,TRADING
EUREURI,EUR,EURI,TRADING
EURIUSDT,EURI,USDT,TRADING
DOGSBRL,DOGS,BRL,TRADING
DOGSUSDC,DOGS,USDC,TRADING
RAREBRL,RARE,BRL,BREAK
RAREUSDC,RARE,USDC,TRADING
SLFBTC,SLF,BTC,TRADING
SLFTRY,SLF,TRY,TRADING
SLFUSDC,SLF,USDC,TRADING
SLFUSDT,SLF,USDT,TRADING
AAVEUSDC,AAVE,USDC,TRADING
SUNTRY,SUN,TRY,TRADING
STMXTRY,STMX,TRY,TRADING
POLBNB,POL,BNB,TRADING
POLBRL,POL,BRL,TRADING
POLBTC,POL,BTC,TRADING
POLETH,POL,ETH,TRADING
POLEUR,POL,EUR,TRADING
POLFDUSD,POL,FDUSD,TRADING
POLJPY,POL,JPY,TRADING
POLTRY,POL,TRY,TRADING
POLUSDC,POL,USDC,TRADING
POLUSDT,POL,USDT,TRADING
NEIROUSDT,NEIRO,USDT,TRADING
TURBOUSDT,TURBO,USDT,TRADING
1MBABYDOGEUSDT,1MBABYDOGE,USDT,TRADING
CATIUSDT,CATI,USDT,TRADING
CATIBNB,CATI,BNB,TRADING
CATIFDUSD,CATI,FDUSD,TRADING
CATITRY,CATI,TRY,TRADING
1MBABYDOGEFDUSD,1MBABYDOGE,FDUSD,TRADING
1MBABYDOGETRY,1MBABYDOGE,TRY,TRADING
CATIBRL,CATI,BRL,TRADING
BTCEURI,BTC,EURI,TRADING
NEIROFDUSD,NEIRO,FDUSD,TRADING
NEIROTRY,NEIRO,TRY,TRADING
HMSTRUSDT,HMSTR,USDT,TRADING
HMSTRBNB,HMSTR,BNB,TRADING
HMSTRFDUSD,HMSTR,FDUSD,TRADING
HMSTRTRY,HMSTR,TRY,TRADING
EIGENBTC,EIGEN,BTC,TRADING
EIGENUSDT,EIGEN,USDT,TRADING
EIGENFDUSD,EIGEN,FDUSD,TRADING
EIGENTRY,EIGEN,TRY,TRADING
NEIROBRL,NEIRO,BRL,TRADING
NEIROEUR,NEIRO,EUR,TRADING
BNSOLSOL,BNSOL,SOL,TRADING
SCRUSDT,SCR,USDT,TRADING
SUIBRL,SUI,BRL,TRADING
TURBOTRY,TURBO,TRY,TRADING
BNSOLUSDT,BNSOL,USDT,TRADING
LUMIAUSDT,LUMIA,USDT,TRADING
SCRBTC,SCR,BTC,TRADING
SCRFDUSD,SCR,FDUSD,TRADING
SCRTRY,SCR,TRY,TRADING
KAIAUSDT,KAIA,USDT,TRADING
COWUSDT,COW,USDT,TRADING
CETUSUSDT,CETUS,USDT,TRADING
PNUTUSDT,PNUT,USDT,TRADING
ACTUSDT,ACT,USDT,TRADING
ACTTRY,ACT,TRY,TRADING
COWTRY,COW,TRY,TRADING
CETUSTRY,CETUS,TRY,TRADING
TROYTRY,TROY,TRY,TRADING
PNUTTRY,PNUT,TRY,TRADING
ACTFDUSD,ACT,FDUSD,TRADING
ACTUSDC,ACT,USDC,TRADING
NEIROUSDC,NEIRO,USDC,TRADING
PNUTBTC,PNUT,BTC,TRADING
PNUTFDUSD,PNUT,FDUSD,TRADING
PNUTUSDC,PNUT,USDC,TRADING
USUALUSDT,USUAL,USDT,TRADING
ACTBRL,ACT,BRL,TRADING
ACTEUR,ACT,EUR,TRADING
CATIUSDC,CATI,USDC,TRADING
ETHEURI,ETH,EURI,TRADING
LUMIATRY,LUMIA,TRY,TRADING
PNUTBRL,PNUT,BRL,TRADING
PNUTEUR,PNUT,EUR,TRADING
APEFDUSD,APE,FDUSD,TRADING
FDUSDUSDC,FDUSD,USDC,TRADING
HBARUSDC,HBAR,USDC,TRADING
OMUSDC,OM,USDC,TRADING
RAYUSDC,RAY,USDC,TRADING
TAOUSDC,TAO,USDC,TRADING
TURBOFDUSD,TURBO,FDUSD,TRADING
